event_id,station,file_name
AM.RCCE6.event.20260531T055104,RCCE6,AM.RCCE6.event.20260531T055104.mseed
AM.RCCE6.event.20260531T074114,RCCE6,AM.RCCE6.event.20260531T074114.mseed
AM.RCCE6.event.20260531T213430,RCCE6,AM.RCCE6.event.20260531T213430.mseed
AM.RCCE6.event.20260531T214707,RCCE6,AM.RCCE6.event.20260531T214707.mseed
AM.RCCE6.event.20260531T215223,RCCE6,AM.RCCE6.event.20260531T215223.mseed
AM.RCCE6.event.20260531T221010,RCCE6,AM.RCCE6.event.20260531T221010.mseed
AM.RCCE6.event.20260531T221901,RCCE6,AM.RCCE6.event.20260531T221901.mseed
AM.RD349.event.20251224T035208,RD349,AM.RD349.event.20251224T035208.mseed
AM.RD349.event.20260109T183936,RD349,AM.RD349.event.20260109T183936.mseed
AM.RD349.event.20260205T195418,RD349,AM.RD349.event.20260205T195418.mseed
AM.RD349.event.20260216T200456,RD349,AM.RD349.event.20260216T200456.mseed
AM.RD349.event.20260301T190036,RD349,AM.RD349.event.20260301T190036.mseed
AM.RD349.event.20260303T172507,RD349,AM.RD349.event.20260303T172507.mseed
AM.RD349.event.20260304T153528,RD349,AM.RD349.event.20260304T153528.mseed
AM.RD349.event.20260326T081116,RD349,AM.RD349.event.20260326T081116.mseed
AM.RE8DB.event.20251028T084426,RE8DB,AM.RE8DB.event.20251028T084426.mseed
AM.RE8DB.event.20251121T033551,RE8DB,AM.RE8DB.event.20251121T033551.mseed
AM.RE8DB.event.20251221T070425,RE8DB,AM.RE8DB.event.20251221T070425.mseed
AM.RE8DB.event.20251227T104252,RE8DB,AM.RE8DB.event.20251227T104252.mseed
AM.RE8DB.event.20260120T230945,RE8DB,AM.RE8DB.event.20260120T230945.mseed
AM.RE8DB.event.20260219T111639,RE8DB,AM.RE8DB.event.20260219T111639.mseed
AM.RE8DB.event.20260423T203420,RE8DB,AM.RE8DB.event.20260423T203420.mseed
AM.RE8DB.event.20260531T055209,RE8DB,AM.RE8DB.event.20260531T055209.mseed
